id,codes
532,ISP
533,IST
534,ITM
535,ITO
536,ITP
537,IWA
538,IXA
539,IXB
540,IXC
541,IXM
542,IXZ
543,JAC
544,JAI
545,JAN
546,JAU
547,JAV
548,JAX
549,JDF
550,JED
551,JER
552,JFK
553,JHM
554,JIB
555,JJG
556,JJN
557,JKH
558,JNB
559,JOG
560,JOI
561,JPA
562,JRO
563,JSI
564,JUB
565,JUL
566,KAN
567,KBL
568,KBP
569,KBR
570,KBV
571,KCH
572,KEF
573,KER
574,KFZ
575,KGL
576,KHH
577,KHI
578,KIH
579,KIN
580,KIR
581,KIV
582,KIX
583,KLO
584,KLU
585,KMG
586,KNO
587,KOA
588,KOE
589,KOV
590,KRK
591,KRN
592,KRR
593,KRS
594,KRT
595,KSA
596,KSC
597,KSH
598,KSN
599,KTM
600,KTT
601,KTW
602,KUA
603,KUH
604,KUL
605,KUN
606,KUO
607,KWE
608,KWI
609,KZN
610,KZO
611,LAD
612,LAF
613,LAN
614,LAS
615,LAX
616,LBA
617,LBB
618,LBC
619,LBF
620,LBJ
621,LBU
622,LBV
623,LCA
624,LCG
625,LCH
626,LCK
627,LCY
628,LDY
629,LED
630,LEI
631,LEJ
632,LEN
633,LEU
634,LEX
635,LFT
636,LFW
637,LGA
638,LGB
639,LGG
640,LGK
641,LGW
642,LHE
643,LHR
644,LIH
645,LIL
646,LIM
647,LIN
648,LIR
649,LIS
650,LIT
651,LJU
652,LKO
653,LLW
654,LMN
655,LMT
656,LNK
657,LNZ
658,LOP
659,LOS
660,LPA
661,LPB
662,LPL
663,LPQ
664,LRD
665,LRH
666,LSE
667,LTN
668,LUK
669,LUN
670,LUX
671,LVI
672,LWB
673,LWO
674,LXR
675,LYR
676,LYS
677,MAA
678,MAD
679,MAF
680,MAH
681,MAJ
682,MAN
683,MAO
684,MBA
685,MBJ
686,MBS
687,MCE
688,MCI
689,MCO
690,MCP
691,MCT
692,MCW
693,MCZ
694,MDC
695,MDE
696,MDL
697,MDQ
698,MDT
699,MDW
700,MDZ
701,MED
702,MEL
703,MEM
704,MEX
705,MFD
706,MGA
707,MGL
708,MGM
709,MHD
710,MHT
711,MIA
712,MJV
713,MKC
714,MKE
715,MKG
716,MLA
717,MLB
718,MLE
719,MLH
720,MLI
721,MLN
722,MLU
723,MME
724,MMH
725,MMK
726,MMX
727,MNL
728,MOB
729,MOO
730,MPM
731,MQC
732,MQL
733,MRS
734,MRU
735,MRY
736,MSN
737,MSO
738,MSP
739,MSQ
740,MST
741,MSU
742,MSY
743,MTJ
744,MTS
745,MTY
746,MUB
747,MUC
748,MUX
749,MVD
750,MVY
751,MXE
752,MXP
753,MYF
754,MYR
755,MYT
756,MZL
757,NAG
758,NAN
759,NAP
760,NAS
761,NAT
762,NBO
763,NCE
764,NCL
765,NDJ
766,NDL
767,NDR
768,NER
769,NGB
770,NGO
771,NGS
772,NIC
773,NIM
774,NKC
775,NKG
776,NLA
777,NLK
778,NNG
779,NNR
780,NOC
781,NOS
782,NQY
783,NQZ
784,NRN
785,NRT
786,NSK
787,NSN
788,NTE
789,NTL
790,NUE
791,NWI
792,NYO
793,NZC
794,OAK
795,OBN
796,ODS
797,OGG
798,OGS
799,OHD
800,ORH
801,OKA
802,OKC
803,OMA
804,OME
805,OMO
806,OMS
807,ONT
808,OOL
809,OPO
810,ORB
811,ORD
812,ORF
813,ORK
814,ORY
815,OSH
816,OSL
817,OST
818,OSU
819,OTP
820,OTZ
821,OUA
822,OUD
823,OUL
824,OVB
825,OVD
826,OWD
827,OXB
828,OXF
829,PAE
830,PAP
831,PAS
832,PBG
833,PBH
834,PBI
835,PBM
836,PCL
837,PDG
838,PDK
839,PDL
840,PDP
841,PDV
842,PDX
843,PEE
844,PEI
845,PEK
846,PEM
847,PEN
848,PER
849,PET
850,PEW
851,PFB
852,PFO
853,PHC
854,PHF
855,PHK
856,PHL
857,PHX
858,PIE
859,PIK
860,PIO
861,PIT
862,PIU
863,PIX
864,PKU
865,PKX
866,PLM
867,PLQ
868,PLS
869,PLU
870,PLZ
871,PMI
872,PMO
873,PMW
874,PNA
875,PNH
876,PNI
877,PNK
878,PNQ
879,PNS
880,PNT
881,PNY
882,PNZ
883,POA
884,POM
885,POO
886,POP
887,POS
888,POZ
889,PPG
